Cities,OR-Tools Distance,OR-Tools Runtime,OR-Tools Status,Gurobi Distance,Gurobi Runtime,Gurobi Status,Improvement %
50,12094.048999999999,17.230143308639526,Heuristic,8838.918,0.9463274478912354,optimal,26.92
100,15772.334999999997,73.82187271118164,Heuristic,11738.551999999998,0.5041601657867432,optimal,25.58
200,21306.145000000004,289.16903614997864,Heuristic,16535.873999999993,2.431635856628418,optimal,22.39
500,31393.51099999998,600.0014023780823,Heuristic,24524.09399999999,14.678892850875854,optimal,21.88
1000,44879.673,600.0062487125397,Optimal,33888.48299999999,79.64943289756775,optimal,24.49
